{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 1550, 'n_target': 50, 'classical': 0.2, 'labeled': 0.01, 'iter': 57}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 1550, 'n_target': 50, 'classical': 0.1875, 'labeled': 0.0, 'iter': 61}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0038, 'n_source': 1550, 'n_target': 50, 'classical': 0.17, 'labeled': 0.0125, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0048, 'n_source': 1550, 'n_target': 50, 'classical': 0.23, 'labeled': 0.015, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 1550, 'n_target': 50, 'classical': 0.1725, 'labeled': 0.01, 'iter': 10}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0042, 'n_source': 1550, 'n_target': 50, 'classical': 0.21, 'labeled': 0.015, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0045, 'n_source': 1550, 'n_target': 50, 'classical': 0.1775, 'labeled': 0.01, 'iter': 62}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0046, 'n_source': 1550, 'n_target': 50, 'classical': 0.1925, 'labeled': 0.0125, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0052, 'n_source': 1550, 'n_target': 50, 'classical': 0.15, 'labeled': 0.0125, 'iter': 53}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0043, 'n_source': 1550, 'n_target': 50, 'classical': 0.2075, 'labeled': 0.01, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0054, 'n_source': 1550, 'n_target': 50, 'classical': 0.195, 'labeled': 0.005, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0039, 'n_source': 1550, 'n_target': 50, 'classical': 0.195, 'labeled': 0.0075, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 1550, 'n_target': 50, 'classical': 0.14, 'labeled': 0.01, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 1550, 'n_target': 50, 'classical': 0.21, 'labeled': 0.01, 'iter': 9}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0041, 'n_source': 1550, 'n_target': 50, 'classical': 0.16, 'labeled': 0.01, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 1550, 'n_target': 50, 'classical': 0.1275, 'labeled': 0.0075, 'iter': 99}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 1550, 'n_target': 50, 'classical': 0.2025, 'labeled': 0.0075, 'iter': 8}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 1550, 'n_target': 50, 'classical': 0.1825, 'labeled': 0.0225, 'iter': 98}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.004, 'n_source': 1550, 'n_target': 50, 'classical': 0.195, 'labeled': 0.015, 'iter': 91}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0044, 'n_source': 1550, 'n_target': 50, 'classical': 0.2175, 'labeled': 0.01, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.005, 'n_source': 1550, 'n_target': 50, 'classical': 0.175, 'labeled': 0.005, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0055, 'n_source': 50, 'n_target': 150, 'classical': 0.14, 'labeled': 0.0825, 'iter': 24}
