{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0234, 'n_source': 50, 'n_target': 100, 'lipton': 0.1225, 'prop-target': 0.7200000000000001, 'oracle': 0.1225, 'iter': 17}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.1425, 'prop-target': 0.68, 'oracle': 0.1425, 'iter': 45}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0221, 'n_source': 50, 'n_target': 100, 'lipton': 0.1675, 'prop-target': 0.8363636363636364, 'oracle': 0.1675, 'iter': 49}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.14, 'prop-target': 0.74, 'oracle': 0.14, 'iter': 79}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 50, 'n_target': 100, 'lipton': 0.1525, 'prop-target': 0.7800000000000001, 'oracle': 0.1525, 'iter': 38}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 50, 'n_target': 100, 'lipton': 0.165, 'prop-target': 0.69, 'oracle': 0.165, 'iter': 12}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0206, 'n_source': 50, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.74, 'oracle': 0.2125, 'iter': 48}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 50, 'n_target': 100, 'lipton': 0.185, 'prop-target': 0.79, 'oracle': 0.185, 'iter': 52}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 50, 'n_target': 100, 'lipton': 0.155, 'prop-target': 0.8260869565217392, 'oracle': 0.155, 'iter': 73}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.1825, 'prop-target': 0.79, 'oracle': 0.1825, 'iter': 7}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 50, 'n_target': 100, 'lipton': 0.155, 'prop-target': 0.71, 'oracle': 0.155, 'iter': 34}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0205, 'n_source': 50, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.72, 'oracle': 0.1775, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 50, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.76, 'oracle': 0.1775, 'iter': 24}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0209, 'n_source': 50, 'n_target': 100, 'lipton': 0.16, 'prop-target': 0.67, 'oracle': 0.16, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 50, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.79, 'oracle': 0.1775, 'iter': 32}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0171, 'n_source': 50, 'n_target': 100, 'lipton': 0.195, 'prop-target': 0.77, 'oracle': 0.195, 'iter': 69}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0167, 'n_source': 50, 'n_target': 100, 'lipton': 0.1775, 'prop-target': 0.79, 'oracle': 0.1775, 'iter': 55}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0203, 'n_source': 50, 'n_target': 100, 'lipton': 0.1825, 'prop-target': 0.69, 'oracle': 0.1825, 'iter': 86}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0175, 'n_source': 50, 'n_target': 100, 'lipton': 0.245, 'prop-target': 0.71, 'oracle': 0.245, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0181, 'n_source': 50, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.68, 'oracle': 0.1875, 'iter': 40}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 50, 'n_target': 100, 'lipton': 0.1825, 'prop-target': 0.76, 'oracle': 0.1825, 'iter': 15}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.018, 'n_source': 50, 'n_target': 100, 'lipton': 0.195, 'prop-target': 0.6666666666666667, 'oracle': 0.195, 'iter': 70}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0169, 'n_source': 50, 'n_target': 100, 'lipton': 0.1825, 'prop-target': 0.7, 'oracle': 0.1825, 'iter': 46}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0193, 'n_source': 50, 'n_target': 100, 'lipton': 0.215, 'prop-target': 0.76, 'oracle': 0.215, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 50, 'n_target': 100, 'lipton': 0.185, 'prop-target': 0.7600000000000001, 'oracle': 0.185, 'iter': 25}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.2125, 'prop-target': 0.7, 'oracle': 0.2125, 'iter': 16}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 50, 'n_target': 100, 'lipton': 0.1575, 'prop-target': 0.73, 'oracle': 0.1575, 'iter': 37}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0187, 'n_source': 50, 'n_target': 100, 'lipton': 0.195, 'prop-target': 0.74, 'oracle': 0.1925, 'iter': 92}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0213, 'n_source': 50, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.69, 'oracle': 0.1875, 'iter': 59}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0179, 'n_source': 50, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.75, 'oracle': 0.1875, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 50, 'n_target': 100, 'lipton': 0.1875, 'prop-target': 0.76, 'oracle': 0.1875, 'iter': 50}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0183, 'n_source': 50, 'n_target': 100, 'lipton': 0.1925, 'prop-target': 0.75, 'oracle': 0.1925, 'iter': 90}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0197, 'n_source': 50, 'n_target': 100, 'lipton': 0.1475, 'prop-target': 0.76, 'oracle': 0.1475, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 50, 'n_target': 100, 'lipton': 0.155, 'prop-target': 0.76, 'oracle': 0.155, 'iter': 99}
