{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0201, 'n_source': 50, 'n_target': 100, 'lipton': 0.21, 'oracle': 0.21, 'iter': 87}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 50, 'n_target': 100, 'lipton': 0.6, 'oracle': 0.16, 'iter': 94}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0215, 'n_source': 50, 'n_target': 100, 'lipton': 0.19, 'oracle': 0.19, 'iter': 84}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0207, 'n_source': 50, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.22, 'iter': 68}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0192, 'n_source': 50, 'n_target': 100, 'lipton': 0.23, 'oracle': 0.23, 'iter': 81}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0194, 'n_source': 50, 'n_target': 100, 'lipton': 0.22, 'oracle': 0.21, 'iter': 83}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0199, 'n_source': 50, 'n_target': 100, 'lipton': 0.59, 'oracle': 0.14, 'iter': 78}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0174, 'n_source': 50, 'n_target': 100, 'lipton': 0.44, 'oracle': 0.13, 'iter': 63}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0195, 'n_source': 50, 'n_target': 100, 'lipton': 0.1, 'oracle': 0.1, 'iter': 71}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0161, 'n_source': 50, 'n_target': 100, 'lipton': 0.13, 'oracle': 0.13, 'iter': 72}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.02, 'n_source': 50, 'n_target': 100, 'lipton': 0.27, 'oracle': 0.27, 'iter': 66}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0176, 'n_source': 25, 'n_target': 100, 'lipton': 0.51, 'oracle': 0.19, 'iter': 85}
