{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0546, 'n_source': 25, 'n_target': 100, 'lipton': 0.37, 'prop-target': 0.6162962962962961, 'oracle': 0.37, 'iter': 20}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0519, 'n_source': 25, 'n_target': 100, 'lipton': 0.65, 'prop-target': -2.9600000000000106, 'oracle': 0.38, 'iter': 28}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0564, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.6346666666666667, 'oracle': 0.29, 'iter': 26}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0559, 'n_source': 25, 'n_target': 100, 'lipton': 0.7, 'prop-target': 0.33333333333333326, 'oracle': 0.25, 'iter': 44}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0545, 'n_source': 25, 'n_target': 100, 'lipton': 0.63, 'prop-target': 0.4930434782608694, 'oracle': 0.31, 'iter': 19}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0558, 'n_source': 25, 'n_target': 100, 'lipton': 0.73, 'prop-target': 0.36571428571428555, 'oracle': 0.24, 'iter': 23}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0557, 'n_source': 25, 'n_target': 100, 'lipton': 0.71, 'prop-target': 0.1692307692307692, 'oracle': 0.31, 'iter': 21}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0536, 'n_source': 25, 'n_target': 100, 'lipton': 0.64, 'prop-target': 0.27125000000000027, 'oracle': 0.27, 'iter': 22}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.054, 'n_source': 25, 'n_target': 100, 'lipton': 0.3, 'prop-target': 0.7460869565217392, 'oracle': 0.3, 'iter': 6}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0555, 'n_source': 25, 'n_target': 100, 'lipton': 0.33, 'prop-target': 0.5210526315789473, 'oracle': 0.33, 'iter': 30}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0551, 'n_source': 25, 'n_target': 100, 'lipton': 0.36, 'prop-target': 0.6666666666666665, 'oracle': 0.29, 'iter': 29}
{'kernel_df': 3, 'beta': 3, 'bayes_error': 0.0582, 'n_source': 25, 'n_target': 100, 'lipton': 0.55, 'prop-target': 0.42857142857142844, 'oracle': 0.35, 'iter': 12}
